id,section_id,fournisseur_id,article_id,quantite,prix_unitaire,devise,date_pr,date_po,date_livraison_prevue,date_livraison_reelle,statut,ecart_jours
63e6c2dc-5914-4ae5-894f-13512308897f,9afefdbb-119c-4425-8535-6fec5127f4b6,e62c2c04-1277-440a-8b88-e465e31f7939,80,2,607.22,USD,2025-09-26,2025-10-04,2025-10-10,2025-10-09,livree_a_temps,-1
d6e4a846-93e0-4d08-9975-97923326a569,9afefdbb-119c-4425-8535-6fec5127f4b6,65c02af0-837c-45f5-91bd-6ad4308cb818,34,1,48.81,USD,2025-09-18,2025-09-25,2025-09-30,2025-09-30,livree_a_temps,0
2638b83c-d726-433f-bc46-1a258bede9a4,9afefdbb-119c-4425-8535-6fec5127f4b6,ce8c11a2-7764-4c69-9d3d-6efc6283c1a9,32,10,16.51,USD,2025-09-25,2025-09-27,2025-10-01,2025-10-01,livree_a_temps,0
ed1b9617-b9b7-4310-9212-9a3de3571bb9,9afefdbb-119c-4425-8535-6fec5127f4b6,38c992e5-31f4-482c-8b98-64f368b058d2,29,50,39.81,USD,2025-09-19,2025-09-28,2025-10-08,2025-10-16,livree_en_retard,8
e3f9edbd-0ee5-4d6e-8803-c9cfa7901a53,9afefdbb-119c-4425-8535-6fec5127f4b6,1b9d31e8-58e9-410c-97a5-1dba9298c645,31,100,55.08,USD,2025-08-30,2025-09-04,2025-09-08,2025-09-18,livree_en_retard,10
db23f043-3cff-4efd-9769-407b5a622ffa,9afefdbb-119c-4425-8535-6fec5127f4b6,98390bdc-1e93-4618-8e29-ce8ed6a4aed8,56,10,198.72,USD,2025-09-28,2025-09-30,2025-10-07,2025-10-15,livree_en_retard,8
e8a8afc9-6539-488c-bc4c-dd1ee1a7e39b,9afefdbb-119c-4425-8535-6fec5127f4b6,87d82af0-297c-48d8-b9bb-0d0df1927534,48,1,381.91,USD,2025-09-28,2025-10-01,2025-10-12,2025-10-12,livree_a_temps,0
9ad5b2c5-5676-4920-bb9a-d843608cd2fe,9afefdbb-119c-4425-8535-6fec5127f4b6,98390bdc-1e93-4618-8e29-ce8ed6a4aed8,50,2,323.12,USD,2025-08-31,2025-09-02,2025-09-11,2025-09-11,livree_a_temps,0
cc18866c-74f1-434c-9ad5-6bb6a2aa6cd8,9afefdbb-119c-4425-8535-6fec5127f4b6,a42c50e1-e7d1-4a84-95a4-095680d78ab4,56,2,195.68,USD,2025-09-12,2025-09-19,2025-09-29,2025-10-09,livree_en_retard,10
1de66cb0-5953-494e-ac9d-100c858e8302,9afefdbb-119c-4425-8535-6fec5127f4b6,bfd258a1-15d6-405e-80cd-4cf9ed5b730d,56,10,207.97,USD,2025-09-08,2025-09-18,2025-09-29,2025-10-01,livree_en_retard,2
8705eb78-eff4-4530-ae7f-f24c1b10ec23,9afefdbb-119c-4425-8535-6fec5127f4b6,afa25e1d-9614-4325-939a-28c9c516deaa,108,1,178.22,USD,2025-09-27,2025-10-01,2025-10-09,2025-10-09,livree_a_temps,0
8e37d776-6911-4692-8c30-f817d08f1029,9afefdbb-119c-4425-8535-6fec5127f4b6,e4b497a2-4b2e-4c1c-8bb5-dfdabd33779b,83,5,167.43,USD,2025-09-30,2025-10-10,2025-10-15,2025-10-12,livree_a_temps,-3
88d68b3f-886a-4a66-bc37-e65a63169859,9afefdbb-119c-4425-8535-6fec5127f4b6,e62c2c04-1277-440a-8b88-e465e31f7939,80,2,517.06,USD,2025-10-02,2025-10-12,2025-10-14,2025-10-25,livree_en_retard,11
943f720e-9e7f-485d-b5fd-bed56051772e,9afefdbb-119c-4425-8535-6fec5127f4b6,65c02af0-837c-45f5-91bd-6ad4308cb818,33,20,90.37,USD,2025-10-18,2025-10-26,2025-11-08,2025-11-08,livree_a_temps,0
4e6206ea-45ea-456f-90a9-79085cb56ef1,9afefdbb-119c-4425-8535-6fec5127f4b6,ddb507c6-7c41-4027-bf46-dee06e458cb7,37,2,23.21,USD,2025-10-12,2025-10-14,2025-10-20,2025-11-01,livree_en_retard,12
55ec1cdb-a9dd-4223-b1c1-f4a2d2cabfe7,9afefdbb-119c-4425-8535-6fec5127f4b6,e4b497a2-4b2e-4c1c-8bb5-dfdabd33779b,37,100,23.99,USD,2025-10-23,2025-11-01,2025-11-03,2025-11-03,livree_a_temps,0
26ea6944-ec21-473c-a31a-7ab231b01752,9afefdbb-119c-4425-8535-6fec5127f4b6,6ddb19c1-837f-43af-91b7-6335e905a1a2,89,10,75.83,USD,2025-10-25,2025-10-30,2025-11-18,2025-11-23,livree_en_retard,5
3195c2cb-1f5a-44d2-9ecc-af42af8c2382,9afefdbb-119c-4425-8535-6fec5127f4b6,556076a7-4eaa-4ff0-aee1-103e2fb43bb9,93,10,37.23,USD,2025-10-19,2025-10-25,2025-10-29,2025-11-14,livree_en_retard,16
8bd8c6d4-7b06-4526-990e-bbffbdcbc96e,9afefdbb-119c-4425-8535-6fec5127f4b6,08bbc964-d812-43ef-88bc-1b75de877890,56,10,154.98,USD,2025-10-20,2025-10-30,2025-11-02,2025-11-14,livree_en_retard,12
5883533f-e295-4817-8997-9d2267c94015,9afefdbb-119c-4425-8535-6fec5127f4b6,bfd258a1-15d6-405e-80cd-4cf9ed5b730d,53,10,69.61,USD,2025-10-28,2025-11-06,2025-11-19,2025-11-19,livree_a_temps,0
2e73ea5c-36e7-4eff-9580-c7ce6a08a0a1,9afefdbb-119c-4425-8535-6fec5127f4b6,87d82af0-297c-48d8-b9bb-0d0df1927534,56,50,265.05,USD,2025-10-08,2025-10-13,2025-11-02,2025-11-02,livree_a_temps,0
eb7cdf6a-c437-4b07-adc6-bf67aaee5191,9afefdbb-119c-4425-8535-6fec5127f4b6,5a131d9a-320b-4460-b554-997bcd47bfd0,106,1,184.81,USD,2025-10-05,2025-10-07,2025-10-13,2025-10-13,livree_a_temps,0
4b27d573-6e9c-4acf-9cf5-b73488a3404f,9afefdbb-119c-4425-8535-6fec5127f4b6,5be21ce5-62b1-4728-8aa7-c1137266ce68,114,10,20.91,USD,2025-10-26,2025-11-05,2025-11-23,2025-11-23,livree_a_temps,0
6e7f38ac-f522-4ccc-8620-7dbff9179e3c,9afefdbb-119c-4425-8535-6fec5127f4b6,bc5b55fa-f576-4627-a4df-94b9c031ffc3,84,1,1999.4,USD,2025-11-07,2025-11-16,2025-11-19,2025-11-27,livree_en_retard,8
58e2bdd7-cf22-4e75-8f81-001ed9c3c94f,9afefdbb-119c-4425-8535-6fec5127f4b6,ddb507c6-7c41-4027-bf46-dee06e458cb7,29,2,31.23,USD,2025-10-31,2025-11-06,2025-11-11,2025-11-25,livree_en_retard,14
dc18058a-63da-45c0-8547-4e16a3de4b1a,9afefdbb-119c-4425-8535-6fec5127f4b6,ddb507c6-7c41-4027-bf46-dee06e458cb7,28,20,30.3,USD,2025-11-21,2025-11-25,2025-11-27,2025-12-06,livree_en_retard,9
ac9a2b3a-7e3a-4978-90d5-1f6c1ccd0c26,9afefdbb-119c-4425-8535-6fec5127f4b6,e4b497a2-4b2e-4c1c-8bb5-dfdabd33779b,31,20,46.16,USD,2025-11-19,2025-11-28,2025-12-01,2025-12-08,livree_en_retard,7
83cebbc1-ad03-4f00-a0fc-74acd339fe68,9afefdbb-119c-4425-8535-6fec5127f4b6,d12c1c4b-c6e6-42fa-8a67-917383e19cdb,49,1,170.48,USD,2025-11-17,2025-11-21,2025-12-03,2025-12-15,livree_en_retard,12
a49cfcd6-2771-4e4e-a1ef-b34e1c8a1d61,9afefdbb-119c-4425-8535-6fec5127f4b6,98ac7ba3-6167-4556-81bd-92b16919c9ca,56,2,163.43,USD,2025-11-21,2025-11-28,2025-11-29,2025-11-29,livree_a_temps,0
ca17c3e6-fea1-4170-9f24-b6581843426b,9afefdbb-119c-4425-8535-6fec5127f4b6,d2e0a39b-31b3-4c7e-98cc-450466fb6a32,51,50,132.29,USD,2025-11-19,2025-11-29,2025-12-04,2025-12-12,livree_en_retard,8
b5463b92-c380-4964-9ff3-8faf4fa58a29,9afefdbb-119c-4425-8535-6fec5127f4b6,14e13be0-90c7-4e0e-b6f8-9792e15ebc20,106,50,157.53,USD,2025-11-12,2025-11-13,2025-11-15,2025-11-12,livree_a_temps,-3
9dfb1eff-a140-4290-8812-bd8ca539c1a2,9afefdbb-119c-4425-8535-6fec5127f4b6,7a95f5a9-dbad-4e44-b6b2-a2dd3f6c31f1,87,100,3306.39,USD,2025-12-09,2025-12-15,2025-12-25,2025-12-25,livree_a_temps,0
b815954d-f54e-47fe-9df5-7d0e85d3a7e2,9afefdbb-119c-4425-8535-6fec5127f4b6,08bbc964-d812-43ef-88bc-1b75de877890,33,20,79.46,USD,2025-12-04,2025-12-08,2025-12-12,2025-12-15,livree_en_retard,3
14b84185-bd59-4f07-8245-4854e15f30c9,9afefdbb-119c-4425-8535-6fec5127f4b6,bd78e129-6007-46b3-89c4-44bf91d38bc2,33,2,97.83,USD,2025-12-06,2025-12-14,2025-12-28,2026-01-02,livree_en_retard,5
5e487e14-ac23-4c60-b34d-d764754a26fb,9afefdbb-119c-4425-8535-6fec5127f4b6,bd78e129-6007-46b3-89c4-44bf91d38bc2,30,20,56.66,USD,2025-12-07,2025-12-14,2025-12-19,2025-12-18,livree_a_temps,-1
723d0a7f-a29e-4595-af9e-6abb7d8b673d,9afefdbb-119c-4425-8535-6fec5127f4b6,7ba3e208-0af4-4e72-ad44-8158cc01b6c4,91,5,45.01,USD,2025-12-06,2025-12-13,2026-01-06,2026-01-06,livree_a_temps,0
6922bb13-cb82-46bf-b056-f5d1756632c4,9afefdbb-119c-4425-8535-6fec5127f4b6,87d82af0-297c-48d8-b9bb-0d0df1927534,56,10,256.73,USD,2025-12-12,2025-12-17,2025-12-28,2025-12-31,livree_en_retard,3
