id,fournisseur_id,article_id,prix_unitaire,devise,quantite_reference,delai_livraison_jours,transport_inclus,stock_disponible,validite_offre_date,date_soumission,source_import
552a1468-6051-4331-bac3-f4713c665ce5,35fc6806-24e7-45c5-92e9-bb28c2094058,1,50.07,USD,50,14,true,100,2026-04-14,2026-01-14,dataset_fictif
a654ce5d-f02c-4102-bfaa-0d74107faf27,344df5fc-fda2-4c73-8f0e-dc8484e5e7db,1,47.55,USD,5,13,false,500,2026-07-24,2026-05-08,dataset_fictif
fd7c729d-7784-4e16-b0d0-72e247315b74,344df5fc-fda2-4c73-8f0e-dc8484e5e7db,1,43.96,USD,100,14,false,200,2026-01-20,2025-11-16,dataset_fictif
8242954b-a188-4274-9244-8a92dc6cf1dd,88be3466-594f-4765-8081-6c97809e05ed,1,49.5,USD,100,26,true,10,2026-07-01,2026-04-02,dataset_fictif
e604d20d-4269-4be6-ab55-c36bfd392d14,8e69a20e-c8f3-456c-aef5-93503060648c,1,50.48,USD,20,24,false,5,2025-11-29,2025-09-03,dataset_fictif
afb85bc9-7653-4004-9384-7ae644f3f445,580e2999-25b4-4140-b5d7-be91f1ea49c0,1,35.27,USD,5,1,false,5,2026-08-03,2026-06-03,dataset_fictif
e3d823dd-1203-40c4-82d3-68961bd8ee8d,8e69a20e-c8f3-456c-aef5-93503060648c,2,57.16,USD,20,28,true,50,2026-04-12,2026-01-22,dataset_fictif
974fe320-61bb-44fd-9c3d-046a58d39797,dfb2a753-de0f-4d48-838e-aa0364c7c674,2,31.16,USD,20,1,false,20,2026-01-30,2025-11-12,dataset_fictif
851fb627-990a-4b1a-9ed9-9f6be6005a59,dfb2a753-de0f-4d48-838e-aa0364c7c674,2,32.18,USD,1,4,false,5,2026-01-15,2025-11-09,dataset_fictif
b9c1ca70-caf5-4379-90b6-75258f28fada,dee82e54-8d39-407a-92c4-acb08e2b7cde,2,35.3,USD,10,7,false,10,2026-01-23,2025-12-21,dataset_fictif
d2e6d3b9-fd57-4253-ac81-bc649e42b03e,dee82e54-8d39-407a-92c4-acb08e2b7cde,2,32.96,USD,10,7,false,100,2026-05-13,2026-02-17,dataset_fictif
33bfdf86-cd28-4f93-9bb7-0b4aa3bb7064,9edbed83-03e6-4554-924e-c1036341b1ae,2,28.12,USD,100,1,false,500,2026-10-25,2026-08-08,dataset_fictif
9d825987-b93b-4504-a0f8-d89bcca7caaf,580e2999-25b4-4140-b5d7-be91f1ea49c0,2,28.77,USD,50,6,false,200,2026-05-15,2026-02-23,dataset_fictif
7ed37ff8-a16d-4b7a-97d3-6c22202abe99,580e2999-25b4-4140-b5d7-be91f1ea49c0,2,34.87,USD,10,2,false,10,2026-02-17,2026-01-16,dataset_fictif
987e665a-1de7-4ae2-80d3-fc53e34f8b16,ad5bcfc1-9861-429c-989f-218d293c2eed,2,38.17,USD,10,6,false,5,2026-07-27,2026-06-19,dataset_fictif
36f9b8be-4fcc-4d72-b4cd-bf1df23b1bd4,10318424-c596-4f80-b733-0845e5445f94,3,142207,CDF,5,4,false,500,2026-09-13,2026-07-13,dataset_fictif
6e492814-9623-4c6f-9dac-865a94e0dc59,cd3e4c18-1f86-41a2-aa2b-5bc28900e21f,3,46.03,USD,100,4,false,500,2026-06-13,2026-05-03,dataset_fictif
eb1834f2-e98b-442a-a0fb-272139800121,580e2999-25b4-4140-b5d7-be91f1ea49c0,3,48.78,USD,50,6,false,500,2026-03-21,2026-01-30,dataset_fictif
4bc764f2-15e2-4f7a-8726-c441f8eabd75,dee82e54-8d39-407a-92c4-acb08e2b7cde,3,45.03,USD,10,2,false,20,2026-01-10,2025-11-10,dataset_fictif
9b5cdf97-3acd-4b2b-8494-49f5803f883f,dee82e54-8d39-407a-92c4-acb08e2b7cde,3,50.2,USD,20,2,false,5,2026-02-08,2025-12-11,dataset_fictif
69abcc94-d1fc-4d25-9cfa-5b67f810c931,35fc6806-24e7-45c5-92e9-bb28c2094058,3,142799,CDF,5,8,true,100,2025-11-24,2025-10-24,dataset_fictif
7f409a82-81c9-41fb-be94-53b538aa33b9,35fc6806-24e7-45c5-92e9-bb28c2094058,3,60.26,USD,20,6,true,0,2025-12-15,2025-10-01,dataset_fictif
2f3c02b7-d124-42de-9541-015ea5195c30,580e2999-25b4-4140-b5d7-be91f1ea49c0,4,25.43,USD,100,7,true,20,2026-09-12,2026-07-11,dataset_fictif
3b8008cb-44e7-410d-9009-076df2e190fa,88be3466-594f-4765-8081-6c97809e05ed,4,34.75,USD,20,20,true,500,2026-03-27,2026-02-03,dataset_fictif
c922b5cf-ed60-4f2c-8286-033eca7f3fde,63c6aa7e-94df-48a7-9212-eec71c2118a5,4,26.17,USD,10,7,false,50,2026-08-01,2026-06-19,dataset_fictif
4eb0ccfc-3388-4e10-9a4b-933f4d4c0b22,63c6aa7e-94df-48a7-9212-eec71c2118a5,4,23.35,USD,10,4,false,100,2026-06-29,2026-05-09,dataset_fictif
fd1fc756-5ee8-4efe-97fc-b8a5d5a674b1,dfb2a753-de0f-4d48-838e-aa0364c7c674,4,75438,CDF,1,6,false,100,2025-12-04,2025-10-04,dataset_fictif
74827654-c04a-4208-85dd-893ddd03d7ce,9edbed83-03e6-4554-924e-c1036341b1ae,4,77662,CDF,20,3,false,5,2026-08-29,2026-06-28,dataset_fictif
d9c8a1b9-a6f1-4f3d-8ffd-faeb144e1bb3,9edbed83-03e6-4554-924e-c1036341b1ae,4,23.74,USD,5,4,false,20,2026-09-25,2026-06-29,dataset_fictif
2b4f8863-c3dd-4170-986c-5ed6e4c58df3,63c6aa7e-94df-48a7-9212-eec71c2118a5,5,20.87,USD,5,3,true,50,2026-09-26,2026-08-01,dataset_fictif
9dd22f55-6b91-4b77-b6ff-b3f04a81dd09,dee82e54-8d39-407a-92c4-acb08e2b7cde,5,23.32,USD,5,1,false,0,2025-12-23,2025-10-20,dataset_fictif
ee5b0977-27d1-4f56-8a6a-459c5d1cf22e,dee82e54-8d39-407a-92c4-acb08e2b7cde,5,23,USD,1,2,false,100,2026-04-13,2026-01-22,dataset_fictif
cb989009-77be-4b24-8261-58a99ef8b87b,35fc6806-24e7-45c5-92e9-bb28c2094058,5,28.02,USD,5,15,true,10,2026-10-19,2026-07-25,dataset_fictif
a557d0c4-333e-42cc-82f4-3ab1c5add88d,10318424-c596-4f80-b733-0845e5445f94,6,23.31,USD,10,4,false,200,2026-01-28,2025-12-26,dataset_fictif
c62162af-071e-402c-9af2-b8320adc2d5a,dee82e54-8d39-407a-92c4-acb08e2b7cde,6,19.91,USD,5,1,false,100,2026-01-14,2025-12-06,dataset_fictif
ddd00e99-1c6e-4cac-93c2-d9e2914fa0d3,dee82e54-8d39-407a-92c4-acb08e2b7cde,6,19.89,USD,20,3,false,50,2026-09-30,2026-08-08,dataset_fictif
0b856170-342a-4323-862a-de6e749ee0ef,9edbed83-03e6-4554-924e-c1036341b1ae,7,52.24,USD,1,2,false,500,2026-10-10,2026-08-20,dataset_fictif
4d3a4eb1-5063-4e08-acd0-aae4a38b9c62,9edbed83-03e6-4554-924e-c1036341b1ae,7,49.25,USD,20,2,false,100,2026-11-09,2026-08-27,dataset_fictif
5f8507fe-9a47-4d14-9e62-9bd5ec5d3cd2,dee82e54-8d39-407a-92c4-acb08e2b7cde,7,50.14,USD,100,4,false,10,2026-03-18,2025-12-20,dataset_fictif
7506ed2e-b897-4fb2-b1a9-0fb27fe05a93,344df5fc-fda2-4c73-8f0e-dc8484e5e7db,7,51.68,USD,50,12,true,500,2026-08-19,2026-06-10,dataset_fictif
7afb005f-b129-45ed-ab31-403bf8722ea9,f88c2747-38d1-429e-ab69-c52c3546ef71,7,56.37,USD,50,14,false,5,2025-11-21,2025-10-05,dataset_fictif
a6302c92-bc11-4180-93a8-72e6bf1d4dcb,88be3466-594f-4765-8081-6c97809e05ed,7,75.02,USD,5,19,false,100,2026-10-10,2026-08-20,dataset_fictif
c4c9067f-8824-4b97-86a7-d204ccc5d64c,dfb2a753-de0f-4d48-838e-aa0364c7c674,7,46.66,USD,10,1,false,20,2026-03-31,2026-02-18,dataset_fictif
dbb41d57-ffaa-4a03-bf6c-f5627342e0a5,dfb2a753-de0f-4d48-838e-aa0364c7c674,7,50.3,USD,100,5,true,200,2026-08-01,2026-06-11,dataset_fictif
4e685352-7e52-41a0-8d81-7a81c3488fba,8e69a20e-c8f3-456c-aef5-93503060648c,8,226291,CDF,10,24,true,200,2026-01-21,2025-12-09,dataset_fictif
ee786e0a-fa85-48f3-8a0f-a47bc1523047,10318424-c596-4f80-b733-0845e5445f94,8,165356,CDF,20,14,true,100,2026-07-29,2026-06-14,dataset_fictif
ad3ef010-7d6a-4ef0-8532-c20c3f17a549,9edbed83-03e6-4554-924e-c1036341b1ae,8,49.17,USD,5,4,false,20,2026-07-04,2026-06-01,dataset_fictif
05a6face-5f73-4f86-8531-98d4c115db6e,f88c2747-38d1-429e-ab69-c52c3546ef71,8,61.01,USD,50,5,true,500,2026-09-26,2026-07-11,dataset_fictif
6815c976-dfa6-4071-bfa8-b66f901a8633,f88c2747-38d1-429e-ab69-c52c3546ef71,8,59.26,USD,100,11,false,5,2025-12-28,2025-11-10,dataset_fictif
32f37982-a420-4e5f-a1b3-b3c129bdf6f4,cd3e4c18-1f86-41a2-aa2b-5bc28900e21f,8,54.08,USD,1,3,false,200,2025-12-21,2025-09-25,dataset_fictif
46aa3858-80b8-4d3c-8301-077ea41ebaeb,4a7852ec-c015-40da-8569-bd2e4958ac41,9,35.92,USD,5,4,false,100,2025-12-23,2025-11-20,dataset_fictif
6981737c-e407-4dc3-b18f-99e6d7377446,ad5bcfc1-9861-429c-989f-218d293c2eed,9,44.45,USD,100,11,false,100,2026-07-08,2026-05-18,dataset_fictif
f89c476a-8c6f-4ec4-b051-a98d03be66ed,ad5bcfc1-9861-429c-989f-218d293c2eed,9,50.25,USD,1,5,false,100,2026-07-28,2026-05-13,dataset_fictif
40de54a0-7332-4301-aa18-7657755ea846,10318424-c596-4f80-b733-0845e5445f94,9,48.15,USD,20,15,false,10,2025-12-12,2025-09-19,dataset_fictif
24cc20fe-bc98-4574-8f52-06aa965b66e4,cd3e4c18-1f86-41a2-aa2b-5bc28900e21f,9,40.75,USD,10,6,false,500,2026-02-27,2026-01-11,dataset_fictif
77b5a067-1434-4297-8993-1c59589bca4a,344df5fc-fda2-4c73-8f0e-dc8484e5e7db,9,51.82,USD,20,9,false,0,2025-11-07,2025-09-01,dataset_fictif
e2fc425d-1d6d-47c8-b3eb-5562fa00438c,9edbed83-03e6-4554-924e-c1036341b1ae,9,99181,CDF,20,6,false,10,2026-04-14,2026-03-14,dataset_fictif
7389c9ab-695b-4eac-ade6-1d0775f6f363,9edbed83-03e6-4554-924e-c1036341b1ae,9,34.15,USD,20,4,false,20,2025-10-26,2025-09-21,dataset_fictif
aa4cc86f-0c4c-4d36-91e2-b59f0fd902d6,cd3e4c18-1f86-41a2-aa2b-5bc28900e21f,10,14.27,USD,50,1,false,200,2026-03-02,2025-12-09,dataset_fictif
d12b55ed-31f8-4399-af25-6485c1b994e3,cd3e4c18-1f86-41a2-aa2b-5bc28900e21f,10,15.54,USD,20,5,false,20,2026-04-30,2026-02-24,dataset_fictif
fa87a1be-484b-40f4-b649-b540d00cb3dc,9edbed83-03e6-4554-924e-c1036341b1ae,10,12.36,USD,20,3,false,20,2025-10-23,2025-09-05,dataset_fictif
bff6d5b2-67ad-4299-9f7c-7d4d08d18305,9edbed83-03e6-4554-924e-c1036341b1ae,10,14.68,USD,100,6,false,500,2025-12-15,2025-11-05,dataset_fictif
